title,company,location,description,category
Senior Software Engineer (Python),Beamost Ltd,"Leeds, West Yorkshire","Were hiring a Senior Software Engineer (Python) - Trading Systems to own and evolve a production options trading system. It runs during market hours, ingests real-time market data, and requires profiling-led performance engineering to keep p50/p99 latency, jitter, and reliability within tight bounds. Youll take meaningful ownership day-to-day, partnering closely with the founder and the engineering team to prioritise work, ship improvements quickly, and keep the system fast, reliable, and corre…",IT Jobs
Embedded Software Engineer,FT Recruitment Group,"Westhill, Inverness","I’m so happy to be back working with client in the Aberdeen market, recruiting Embedded Software Engineers again. This is how I started my career back in 2001. If you’re an Embedded Software Engineer looking for a new role in Aberdeen (or willing to relocate) and you’d like a salary in the region of £50k to £60k  benefits with Hybrid working (3 day a week on-site), then read on… You’ll join a global market leader in the development and support of critical safety systems primarily for the subsur…",IT Jobs
Senior Software Engineer,Volopa,"South West London, London","About Us Drawing on our success over the past decade, we are embarking on a strategy to grow our product offerings for Volopa. This requires a Senior. Software Engineer to perform detailed design and software coding for several milestones in our product roadmap. Founded in 2011, Volopa is one of the UK’s first innovators in the global payments, foreign exchange, and prepaid cards space. We have helped lead the new wave of fintech disruptors that have changed the way people and businesses manage…",Engineering Jobs
Senior Software Engineer C++/ Rust,Platform Recruitment Limited,"Cambridge, Cambridgeshire","Senior Software Engineer - Up to £200,000 - Cambridge Title : Senior Software Engineer Company : Proprietary HFT Location : Cambridge Pay : Up to £200,000 with huge potential to increase Company : A proprietary high-frequency trading firm in Cambridge, specialising in the research and development of ultra-low-latency automated trading strategies, are looking for a Software Engineer with a demonstrable background of delivering complex projects from a concept through to delivery. It is important …",IT Jobs
Senior Software Engineer - Security Cleared,NSD,"Farnborough, Hampshire","Software Engineer Farnborough | Hybrid (average 3 days onsite) SC Clearance to start | Sole UK Nationals only We are supporting a growing technology organisation delivering secure, mission-critical software solutions within highly regulated environments. They are looking to appoint an experienced Software Engineer to join an established engineering team working on innovative backend systems and modern digital platforms. This is an excellent opportunity for an engineer who enjoys solving complex…",IT Jobs
Senior Backend Software Engineer (Belfast),Ocho,"Belfast, Northern Ireland","Senior Software Engineer (Backend) The Opportunity Ocho are working exclusively with a fast-growing, well-funded cybersecurity firm to find an exceptional Backend Software Engineer. This is a unique and exclusive opportunity - you won't find this role advertised anywhere else. This is a company on a serious upward trajectory. They're an emerging force in a massive, rapidly expanding market and are scaling fast - meaning the engineers who join now will help shape the technology, the culture, and…",IT Jobs
Senior Software Engineer (.Net / Azure),Ocho,"Belfast, Northern Ireland","Senior Software Engineer (.Net / Azure) About the Role Ocho are working with a high-growth technology business undergoing major platform transformation. This is a Senior Software Engineer role within a Professional Services function, ideal for someone who enjoys working at the intersection of technology, customers, and delivery. The Opportunity You will play a key role in designing, delivering, and supporting system integrations for enterprise customers. Working closely with technical stakehold…",IT Jobs
Associate Software Engineer (C++/Python),VANRATH,"Belfast, Northern Ireland","Job Description My client, a leading organisation in financial technology and capital markets infrastructure, is hiring an Associate Engineer (C++/Python) to join their growing technology team based in Belfast. This is an excellent opportunity for an early-career engineer to work on cutting-edge systems within a highly collaborative and innovative environment. Competitive salary (dependent on experience) Hybrid working (Belfast-based office) Flexible working options Bonus and share option schem…",IT Jobs
API Software Engineer - C# / .Net,Ocho,"Belfast, Northern Ireland","API Software Engineer - C# / .Net About the Role: This is a fantastic opportunity for an experienced .Net Developer to join an established Belfast Client as they grow a brand-new team. You'll play a key role in API Infrastructure, allowing 3rd party integrations and users to interact with a portfolio of popular products, working with a high degree of autonomy and technical ownership. Key Responsibilities: Design and implement RESTful APIs Write clean, maintainable code Configure CI/CD pipelines…",IT Jobs
Software Engineer - TradingHub,TradingHub,"London, UK","Compensation: Competitive (Financial Services) About TradingHub Founded in 2010, TradingHub delivers uniquely intelligent trade surveillance software to world leading financial institutions. Developed by market professionals, our solutions use sophisticated modelling techniques to detect single and cross-product market manipulation. With a team of over 150 experts worldwide, TradingHub combines global reach with deep markets expertise to help our customers mitigate financial, regulatory, and re…",IT Jobs
Test System Software Engineer (Python),Camlin,"Lisburn, Northern Ireland","About Camlin Camlin is a global technology leader that operates with the vision of bringing revolutionary products to life for a wide range of industries, including power and rail, and also has interests in a number of R&D projects in a variety of scientific sectors. At Camlin we believe in high quality engineering and design, allowing us to develop market leading products and services. In short, we love creating value for our customers by solving difficult problems. As of now, Camlin operates …",IT Jobs
Junior Software Engineer - £350pd,True North Group,"London, UK","TrueNorth are working with a successful tech consultancy who work heavily in the public sector - we're looking for a Junior Java Software Engineer, perfect for someone looking to step into the contracting world. Key skills: Java Spring Boot Microservice Kafka TDD The roles are inside IR35 and have a rate of £300-350 per day - they are home based roles. Please apply for more info and immediate consideration.",IT Jobs
Embedded Software Engineer,Senex Recruitment Ltd,"London, UK",Title: Embedded Software Engineer Location – Central London Salary: Competitive – dependent on experience (confidential details available on application) An innovative technology business operating at the forefront of advances in the renewable technology sector is expanding its engineering team. The organisation is developing unique patent-protected technology that will help user achieve substantial improvements in the day to day use of a wide range of larger battery powered products. Due to co…,Engineering Jobs
Software Engineer,AYES - Management & Technology Consulting,"Eastern England, UK","AYES is looking for a Software Engineer AYES , an international engineering and technology consultancy founded in Italy, is continuing its growth and expanding its UK team. We are looking for a Software Engineer experienced in SW development, embedded systems, and software engineering for complex technical projects. ⚡ Your profile University degree (BSc or MSc) in Computer Science, Software Engineering, Electronic Engineering, or a related field . Minimum of 3 years’ experience in software deve…",IT Jobs
Software Engineer,IC Resources,"Watford, Hertfordshire","The right to work in the UK without sponsorship is essential for this vacancy. An exciting opportunity for a Software Engineer has arisen with a leading provider of secure transaction audit and internal control software, based in Watford. This is an exciting opportunity for a Software Engineer to join a highly specialised engineering team, focused on designing, developing, and supporting mission-critical Internal Control Systems used within regulated environments. You will commit to a hybrid wo…",IT Jobs
Software Engineer,IC Resources,"Cambridge, Cambridgeshire","The right to work in the UK without sponsorship is essential for this vacancy. An exciting opportunity for a Software Engineer has arisen with a Fortune 100 organisation and global leader in EDA, based in Cambridge. This is a great opportunity for a Software Engineer to collaborate within the team to design, optimise, verify, and document a library of high-quality arithmetic components used by chip designers worldwide, using C++. You will ensure components are robust, efficient, and easy to int…",IT Jobs
Software Engineer,Harvey Nash,"Edinburgh, Scotland",Harvey Nash are exclusively recruiting software engineers on behalf of a leading global FinTech client in Edinburgh. We're looking for software engineers who excel in their tech stack and are keen to speak candidates with experience across four skillsets; Front End - Jana/React/Ember Full Stack - Python/React Back End - Java Back End - Python Our client work in the office two days a week. If you are ready for your next challenge in Software Engineering and have skills in one of the above areas …,IT Jobs
Software Engineer,Experis UK,"Newcastle Upon Tyne, Tyne & Wear","Software Engineer – SC Cleared / SC Eligible Location: Newcastle upon Tyne About the Role We are working with a leading organisation who are building a brand new Software Engineering team in Newcastle. They are looking to hire multiple Software Engineers across Junior, Mid-level, and Senior levels. Due to the nature of the projects, candidates must hold active SC Clearance or be eligible to obtain SC Clearance. This is an excellent opportunity to join a growing team, work on meaningful and tech…",IT Jobs
Software Engineer,EVera Recruitment,"Cardiff, Cardiff County","This role offers the opportunity to take real ownership of tech development. As a Software Engineer , you'll work across the full technology stack, shaping how systems are built, secured, and evolved, while playing a key role in keeping a proven platform reliable, scalable, and future‑ready. LOCATION: This is a Hybrid role based in Bridgend The Software Engineer will: Evolve software architecture across frontend, backend, and infrastructure layers. Design and develop new features across React f…",IT Jobs
Software Engineer,Understanding Recruitment,"London, UK","Forward Deployed Software Engineer Location: London Onsite 4x  1x day remote (with travel predominantly UK  EU) A well-funded, high-growth deep-tech company is building advanced software and AI systems to support next-generation autonomous and data-driven operations. The team is focused on solving complex, real-world challenges by integrating software with sensors, robotics, and distributed systems. This is an opportunity to join at an early and influential stage, working alongside a small grou…",IT Jobs
Software Engineer,Understanding Recruitment,"The City, Central London","Forward Deployed Software Engineer Location: London Onsite 4x  1x day remote (with travel predominantly UK  EU) A well-funded, high-growth deep-tech company is building advanced software and AI systems to support next-generation autonomous and data-driven operations. The team is focused on solving complex, real-world challenges by integrating software with sensors, robotics, and distributed systems. This is an opportunity to join at an early and influential stage, working alongside a small grou…",IT Jobs
Software Engineer,Understanding Recruitment,"The City, Central London","Do you love working on tech making a positive impact in the world? Looking to be part of a collaborate, innovate team? ♻ Software Engineer - Renewable Energy for Car Charging ♻  Package: Up to £80k  bonus  equity  Location: Hybrid in London (2x per week) We are very excited to be continuing our partnership on this exclusive position to join the company as a Kotlin Software Engineer from a JVM background. You will be joining a highly innovative scale-up leading at the forefront of the GreenTech …",IT Jobs
Software Engineer,Understanding Recruitment,"London, UK","Do you love working on tech making a positive impact in the world? Looking to be part of a collaborate, innovate team? ♻ Software Engineer - Renewable Energy for Car Charging ♻  Package: Up to £80k  bonus  equity  Location: Hybrid in London (2x per week) We are very excited to be continuing our partnership on this exclusive position to join the company as a Kotlin Software Engineer from a JVM background. You will be joining a highly innovative scale-up leading at the forefront of the GreenTech …",IT Jobs
Software Engineer,Lockheed Martin,"Brockworth, Gloucester","Software Engineer Gloucester, Gloucestershire £43-53k p/a with BUPA, bonus and full benefits 4 Day Work Week options Lockheed Martin Rotary and Mission Systems (RMS) provides systems engineering, software development, training solutions and complex program management for global security, civil and commercial markets. Simply stated, our mission is to be the world’s leading global security and aerospace company. The role We have 5 exciting opportunities arising at our site in Gloucester for Softw…",IT Jobs
Software Engineer,ITHR Group plc,"London, UK","Software Engineer (Python & Java) I am working with an exciting client who are currently looking to add to their engineering team and are looking for a Software Engineer with strong experience in Python and Java to help build and scale reliable, high‑quality systems. This will be a hybrid role with 2 days per week required on site in Central London What you’ll be doing: - Designing and building backend services using Python and Java - Working on scalable, production‑grade systems - Collaboratin…",IT Jobs
Software Engineer,ITHR Group plc,"The City, Central London","Software Engineer (Python & Java) I am working with an exciting client who are currently looking to add to their engineering team and are looking for a Software Engineer with strong experience in Python and Java to help build and scale reliable, high‑quality systems. This will be a hybrid role with 2 days per week required on site in Central London What you’ll be doing: - Designing and building backend services using Python and Java - Working on scalable, production‑grade systems - Collaboratin…",IT Jobs
Software Engineer,Few&Far,"The City, Central London",Software Engineer | Full Stack  Prop-tech startup tackling one of the UK’s most broken systems using AI-powered technology to drive real innovation watch this space The team is now looking to hire their 4th Engineer. They’re looking for someone who goes beyond simply executing tickets and takes the time to think critically about why and how things should be built. What they're looking for: 4-6 years experience in Software Engineering (with 2 years ideally using Next.js  Node.js) AI-first mindse…,IT Jobs
Software Engineer,Few&Far,"London, UK",Software Engineer | Full Stack  Prop-tech startup tackling one of the UK’s most broken systems using AI-powered technology to drive real innovation watch this space The team is now looking to hire their 4th Engineer. They’re looking for someone who goes beyond simply executing tickets and takes the time to think critically about why and how things should be built. What they're looking for: 4-6 years experience in Software Engineering (with 2 years ideally using Next.js  Node.js) AI-first mindse…,IT Jobs
Software Engineer,Tech Start Up,"London, UK","Software Engineer: E-Commerce Tech Startup (London) We're a funded e-commerce tech startup approaching public launch. The platform is built, transactions are live, and we're looking for an experienced, motivated software engineer to join us as an early hire. You'll work across the full stack directly with the founding team: frontend, backend, iOS and Android mobile app development, database design and maintenance, and AI integration. This is a hands-on role with real scope, not a support functi…",IT Jobs
Software Engineer,Burns Sheehan,"Wickford, Essex","Software Engineer | C# Software Engineer | Windows Developer (UK) Software Engineer £45,000 - £55,000 base salary Minimum of 2 days in Wickford for first 3 months, can move to central London office afterwards C# / .NET full-stack with Transact SQL My client is looking for an experienced .NET Windows Developer to join a growing technology team delivering high-quality Windows applications and services that support core business systems. This role will involve building new applications while moder…",IT Jobs
Software Engineer,Arrows,UK," Senior Software Engineer | AI-Powered SaaS | Remote | Up to £130K Join a fast-growing, product-led SaaS company transforming enterprise operations through AI-driven automation. With a global footprint and thousands of daily users, this team is solving real-world problems across finance, procurement, logistics, and more.  What you’ll do: Turn business needs into impactful product features Build clean, scalable, high-quality software Contribute to architecture and technical direction Mentor othe…",IT Jobs
Software Engineer,Advanced Resource Managers,"Guildford, Surrey","Software Engineer Permanent role Based in Guildford Offering circa £60,000 Do you have experience in Software Development in C++? Do you have experience using Source Control Systems such as Subversion? Do you have experience developing User Interfaces in HTML/JavaScript/TypeScript? If your answer to these is yes, then this could be the role for you! As the Software Engineer, you will be working alongside a market-leading Defence and Aerospace company who are constantly growing and developing. T…",IT Jobs
Software Engineer,Advanced Resource Managers,"Tewkesbury, Gloucestershire","Software Engineer Permanent role Based in Tewkesbury Offering circa £60,000 Do you have experience in Software Development in C++? Do you have experience using Source Control Systems such as Subversion? Do you have experience developing User Interfaces in HTML/JavaScript/TypeScript? If your answer to these is yes, then this could be the role for you! As the Software Engineer, you will be working alongside a market-leading Defence and Aerospace company who are constantly growing and developing. …",IT Jobs
Software Engineer,SoCode Recruitment,"Cambridge, Cambridgeshire","Software Engineer Cambridge, UK (onsite) | Full-Time | Permanent | Up to £55,000 I am currently recruiting for a Cambridge-based engineering business developing advanced RF modules and IC products. Their aim is to solve their customers’ toughest challenges and enable them to stay ahead by pushing the boundaries of RF design. We are currently seeking a Software Engineer who will design and deliver production-quality software that brings advanced RF measurement and optimisation algorithms to life…",IT Jobs
Software Engineer,European Tech Recruit,"London, UK","I’m partnering with an ambitious industrial technology startup who is developing a network of distributed, software-defined factories designed to help hardware companies iterate faster and scale production efficiently. They are now hiring a Full Stack Software Engineer to help build and scale their proprietary factory operating system. Key Responsibilities: Architect, design, and develop critical systems supporting factory automation, real-time data processing, and operational workflows. Own fu…",IT Jobs
Software Engineer,European Tech Recruit,"The City, Central London","I’m partnering with an ambitious industrial technology startup who is developing a network of distributed, software-defined factories designed to help hardware companies iterate faster and scale production efficiently. They are now hiring a Full Stack Software Engineer to help build and scale their proprietary factory operating system. Key Responsibilities: Architect, design, and develop critical systems supporting factory automation, real-time data processing, and operational workflows. Own fu…",IT Jobs
Software Engineer,Akkodis,"Hertfordshire, Eastern England","Job title: Software Engineer (Java) Location: Stevenage, UK Scope Akkodis is seeking a Software Engineer to join our growing team within our Aerospace and Defence capability. This role focuses on strengthening software engineering capability, supporting the development of spacecraft data systems, and contributing to the maturity of software processes and deliverables across the function. Role You will play a key role in the design, development, testing, and optimisation of software prototypes, …",IT Jobs
Software Engineer,Advanced Resource Managers,"Newcastle Upon Tyne, Tyne & Wear","Software Engineer 12 month contract Based in Newcastle Upon Tyne Offering £70ph Inside IR35 Do you have experience with Java? Do you have experience with Unit Testing? Do you want to work with an industry-leading company? If the answer is yes to these, then this could be the role for you! As the Software Engineer, you will be working alongside a market-leading Defence and Aerospace company who are constantly growing and developing. They are always looking to bring on new talents such as yoursel…",IT Jobs
Software Engineer,TRIA,"Bristol, South West England","Software Engineer Hybrid: Central Bristol office 3 times per week. £60-£70,000  | 8-12% bonus | Pension contributions doubled 6% = 18% We're excited to be recruiting exclusively for a Software Engineer, to join a Start Up-style team within a global, insights driven organisation. Think fast moving, big budget, heaps of autonomy, and a breakaway type of culture that is committed to pushing technical boundaries. No slow processes & red tape here! The Headlines This is a hands‑on full-stack role wi…",IT Jobs
Software Engineer,Fruition Group,"The City, Central London","Software Engineer – Platform / Core Infrastructure London 4 days a week on site Up to £110k We’re partnering with a rapidly scaling fintech that has transformed its market in just a few years. Their payments platform processes billions in transactions annually , supporting a growing customer base across multiple countries. As they continue to scale, they’re investing heavily in the internal platform and infrastructure that powers their engineering teams. The Role This is an opportunity to join …",IT Jobs
Software Engineer,Fruition Group,"London, UK","Software Engineer – Platform / Core Infrastructure London 4 days a week on site Up to £110k We’re partnering with a rapidly scaling fintech that has transformed its market in just a few years. Their payments platform processes billions in transactions annually , supporting a growing customer base across multiple countries. As they continue to scale, they’re investing heavily in the internal platform and infrastructure that powers their engineering teams. The Role This is an opportunity to join …",IT Jobs
Software Engineer,Morson Talent,"Doncaster, South Yorkshire","Software Engineer & Senior Software Engineer Doncaster / Hybrid - 3 days per week in the office Engineer up to £50,000, Senior Engineer up to £57,500  benefits You will need to drive to be able to get to the office You will be placed at the heart of the customer journey, managing the secure, high-volume systems that power Payments, Delivery, and Customer Registration for one of the largest online retail platforms in the UK. Your code will directly handle millions of transactions, supporting ove…",IT Jobs
Software Engineer,Harrington Starr,"The City, Central London","Software Engineer London / Hybrid | Perm Role £60,000 - £80,000 Harrington Starr has partnered with a fast-growing fintech that’s transforming how businesses manage foreign exchange and treasury operations. Their technology enables clients to access institutional-grade execution, automate manual workflows, and gain greater transparency across their financial processes. Handling billions in transactions each year, they continue to expand their product offering and deliver cutting-edge solutions …",IT Jobs
Software Engineer,Formula.,"London, UK","Software Engineer (Founding Team) £80,000 - £150,000  Equity Hybrid | 3-4 days a week | London, UK We’re partnering with a well-funded early-stage company building a secure automation platform used by large organisations to streamline and protect critical internal workflows. The business is already supporting production use cases across multiple enterprise customers and is now entering a rapid growth phase, with plans to scale both the product and team significantly over the next year. Responsi…",IT Jobs
Software Engineer,Formula.,"The City, Central London","Software Engineer (Founding Team) £80,000 - £150,000  Equity Hybrid | 3-4 days a week | London, UK We’re partnering with a well-funded early-stage company building a secure automation platform used by large organisations to streamline and protect critical internal workflows. The business is already supporting production use cases across multiple enterprise customers and is now entering a rapid growth phase, with plans to scale both the product and team significantly over the next year. Responsi…",IT Jobs
Software Engineer,Motive Group,"The City, Central London","Junior – Mid Software Engineer Shoreditch | Well-funded startup This one’s for the engineers who know they’re capable of more than their current role is letting them show. We’re working with a small, well-funded startup in Shoreditch who are building something genuinely interesting and are now looking for a junior – mid level Software Engineer to join the team. You don’t need Ruby on Rails or Postgres experience coming in, they will train you. You do need strong fundamentals, curiosity, and the…",IT Jobs
Software Engineer,Motive Group,"London, UK","Junior – Mid Software Engineer Shoreditch | Well-funded startup This one’s for the engineers who know they’re capable of more than their current role is letting them show. We’re working with a small, well-funded startup in Shoreditch who are building something genuinely interesting and are now looking for a junior – mid level Software Engineer to join the team. You don’t need Ruby on Rails or Postgres experience coming in, they will train you. You do need strong fundamentals, curiosity, and the…",IT Jobs
Software Engineer,Hamiltonian Dynamics,"Gloucestershire, South West England","Software Engineer Up to £75k  10% bonus  EMI Scheme Full time, permanent About Us Hamiltonian Dynamics is a start-up based in Gloucestershire and Manchester working in the Defence and Cyber Security industries. We are seeking a Software Engineer to join our growing technology team in our next phase of expansion. Tech Stack Exposure We are seeking someone who has experience in one or more of the following technologies but who is also open minded about learning new languages and technologies. Jav…",IT Jobs
Software Engineer,Noggin HQ,"Newcastle Upon Tyne, Tyne & Wear","Software Engineer £60k to £75k Noggin HQ is a VC-backed financial technology company based in Newcastle-upon-Tyne. Noggin’s core technology helps companies accept more creditworthy individuals. Today, we do this by automatically categorising and enriching Open Banking data collected as part of credit applications. The role: To succeed in this role, you must excel in a fast-paced, high-execution culture, and maintain exceptional standards at a critical stage. In particular, you will: Own the des…",IT Jobs
Software Engineer,Information Tech Consultants,"Eastern England, UK"," IMMEDIATE JOINERS  Software Engineer Location : Bournemouth / Scotland / London Work mode : Onsite Experience: 2–5 years *UK based candidates only* CITIZEN & DEPENDENTS Are you a mobile enthusiast who lives for clean code and smooth UI transitions? We are looking for a Software Engineer with 1 years of professional experience to join our engineering team. At this stage in your career, you’ve moved past ""Hello World"" and are ready to tackle real-world scalability, complex APIs, and the occasion…",IT Jobs
Software Engineer,Berg Search,"Eastern England, UK","On behalf of our client, we are hiring for a Software Engineer (Python).  Relocation to London | 5 days/week in office | Visa sponsorship & relocation package offered The company is building the next generation of customer service through AI Agents. Their agents handle calls, respond to emails and WhatsApp messages, make bookings, process payments, and operate CRM systems in the same way a human would. Founded in June 2023, the company participated in the Y Combinator S23 batch. The founding te…",IT Jobs
Software Engineer,Inara,"London, UK","Agentic Software Engineer | West London | Full-time | Hybrid (4 days onsite per week) Tech: AWS, Salesforce, Snowflake, Node.js, TypeScript, Python, React, GraphQL, Claude Code, Cursor, Copilot, Codex or similar agentic tools We're hiring on behalf of a growing EdTech customer, a globally active education organisation with a genuinely AI-Driven engineering culture. Their tech team doesn't sit on the side of the business. It's central to it. How they build, what they automate, and how they adopt…",IT Jobs
Software Engineer,Inara,"The City, Central London","Agentic Software Engineer | West London | Full-time | Hybrid (4 days onsite per week) Tech: AWS, Salesforce, Snowflake, Node.js, TypeScript, Python, React, GraphQL, Claude Code, Cursor, Copilot, Codex or similar agentic tools We're hiring on behalf of a growing EdTech customer, a globally active education organisation with a genuinely AI-Driven engineering culture. Their tech team doesn't sit on the side of the business. It's central to it. How they build, what they automate, and how they adopt…",IT Jobs
Software Engineer,Hypercube Consulting,"Glasgow, Scotland","Compensation £40,000 - £70,000 Base  Benefits TL;DR Senior or engineer level full-stack software engineer role Fast growing data and AI startup specialising in the energy sector, based in the UK Hybrid/remote available must be UK based, Glasgow or Edinburgh preferred Must have Javascript, React, Python, and cloud experience No visa sponsorship available currently Experience working in a product team is a bonus Experience working in Energy is a bonus Immediate start is desirable Who are we? Hype…",IT Jobs
Software Engineer,trg.recruitment,"The City, Central London"," Software Engineer – Consumer Tech - Product Centric  London (Hybrid, 3 days/week)  £70-85k  Equity  React, Node, Next, TypeScript, AI tools (Full Stack)  100,000s Paying Subscribers | Bootstrapped | Fast Growth I’m working with a high-growth consumer tech startup that’s built one of the UK’s most popular network-led platforms . They are now scaling quickly with a passionate, engaged community already in place, giving them the best chance a start up could have for success! They’re hiring a Full…",IT Jobs
Software Engineer,trg.recruitment,"London, UK"," Software Engineer – Consumer Tech - Product Centric  London (Hybrid, 3 days/week)  £70-85k  Equity  React, Node, Next, TypeScript, AI tools (Full Stack)  100,000s Paying Subscribers | Bootstrapped | Fast Growth I’m working with a high-growth consumer tech startup that’s built one of the UK’s most popular network-led platforms . They are now scaling quickly with a passionate, engaged community already in place, giving them the best chance a start up could have for success! They’re hiring a Full…",IT Jobs
Software Engineer,X4 Technology,"Essex, Eastern England","Role: Full Stack Software Engineer C# Salary: up to £60,000 (doe) Location 2 days a week in South Essex An opportunity has opened up for a creative, detail-oriented Full Stack Engineer to join a growing and forward-thinking InsurTech business. This role offers the chance to work across the full stack, building and enhancing web-based products as part of an ambitious and evolving digital roadmap. What you’ll be doing: Designing, developing, and maintaining web applications from the ground up Wri…",IT Jobs
Software Engineer,5V Video,"London, UK","Software Engineer Contract to Permanent Hybrid (London) Rates negotiable Most backend systems look fine on paper until they hit production. This role is about building services that actually work at scale, under real user demand. Why This Role Leading major media/streaming end client Real production impact from day one Solving practical backend challenges in a high-scale environment The Company / Product You’ll be working on a large-scale platform used by millions, helping build and support bac…",IT Jobs
Software Engineer,DevSecAI,"The City, Central London","Company Description DevSecAI is the creator of Arko, a cutting-edge IDE-integrated security engine for AI-powered development with our own AI models. With a focus on embedding security into the build process, Arko helps modern teams building Apps, APIs, Agents and AI models to ensure secure development practices. By analysing architectural elements, data flows, and vulnerabilities, ARKO provides real-time security insights directly within the IDE. This solves the limitations of traditional stat…",IT Jobs
Software Engineer,DevSecAI,"London, UK","Company Description DevSecAI is the creator of Arko, a cutting-edge IDE-integrated security engine for AI-powered development with our own AI models. With a focus on embedding security into the build process, Arko helps modern teams building Apps, APIs, Agents and AI models to ensure secure development practices. By analysing architectural elements, data flows, and vulnerabilities, ARKO provides real-time security insights directly within the IDE. This solves the limitations of traditional stat…",IT Jobs
Software Engineer,5V Video,"The City, Central London","Software Engineer Contract to Permanent Hybrid (London) Rates negotiable Most backend systems look fine on paper until they hit production. This role is about building services that actually work at scale, under real user demand. Why This Role Leading major media/streaming end client Real production impact from day one Solving practical backend challenges in a high-scale environment The Company / Product You’ll be working on a large-scale platform used by millions, helping build and support bac…",IT Jobs
Software Engineer,Metric Bio,"Oxford, Oxfordshire","Metric Bio are proud to continue supporting one of our longest-standing partners, a pioneering medical device company whose technology is directly saving lives. Their platform has already been used in over 7,000 life-critical transplant procedures worldwide. Backed by a global healthcare leader and spun out of a world-renowned UK university, this is a rare opportunity to build software that genuinely matters. They are looking for a Windows Software Engineer to join a close-knit engineering team…",Engineering Jobs
Software Engineer,Experis UK,"Eastern England, UK","Location: Cheltenham INTRODUCTION We are looking to hire a skilled Software Developer to join our dynamic and innovative team. As a Software Developer, you will be responsible for designing, implementing, and maintaining high-performance, scalable software solutions using Python and related technologies. You will collaborate closely with cross-functional teams to develop and deploy robust web applications, leveraging your expertise in Flask, MongoDB, HTML, CSS, Bootstrap, JavaScript, RESTful se…",IT Jobs
Software Engineer,Bamboo Rose,UK,"About Bamboo Rose At Bamboo Rose, we’re building the world’s leading collaborative product development platform for global retail. Our technology helps retailers and brands bring great products to market faster, smarter, and more sustainably. We’re a team that values curiosity, craftsmanship, and collaboration- and we’re looking for people who love to solve complex, real-world problems and make an impact across global supply chains. About the Role Bamboo Rose is expanding the engineering team f…",IT Jobs
Software Engineer,YourPrime,"Manchester, Greater Manchester","Founding Engineer Manchester (Hybrid) AI Product / Mobile / SaaS The Opportunity We’re working with an early-stage, mission-led software business looking to hire a Founding Engineer to play a key role in the next evolution of their product. The business already has a live platform and strong market relevance — the next phase is about rebuilding and improving the product for the AI era , with a particular focus on user experience, intelligent workflows, and mobile-first product thinking . This i…",IT Jobs
Software Engineer,Bamboo Rose,UK,"About Bamboo Rose At Bamboo Rose, we’re building the world’s leading collaborative product development platform for global retail. Our technology helps retailers and brands bring great products to market faster, smarter, and more sustainably. We’re a team that values curiosity, craftsmanship, and collaboration- and we’re looking for people who love to solve complex, real-world problems and make an impact across global supply chains. About the Role Bamboo Rose is expanding the engineering team f…",IT Jobs
Software Engineer,Finalto,"The City, Central London","About Finalto Finalto is a global leader in liquidity provision and trading technology solutions, serving institutional and B2B clients across financial markets worldwide. With regulated entities in the UK, Singapore, Cyprus, Australia, and the UAE, and additional operational teams in Denmark and Bulgaria, we combine international reach with local expertise. As part of a global financial services group, Finalto combines the scale and stability of an established organisation with the agility of …",IT Jobs
Software Engineer,Finalto,"London, UK","About Finalto Finalto is a global leader in liquidity provision and trading technology solutions, serving institutional and B2B clients across financial markets worldwide. With regulated entities in the UK, Singapore, Cyprus, Australia, and the UAE, and additional operational teams in Denmark and Bulgaria, we combine international reach with local expertise. As part of a global financial services group, Finalto combines the scale and stability of an established organisation with the agility of …",IT Jobs
Software Engineer,Qurated,"Manchester, Greater Manchester","We are supporting a leading Tier 1 Bank, who are going through a completely greenfield on-shoring transformation within the Custsomer Care engineering capabilities. They are going through an exciting journey to establish a next generational engineering centre with the best-in-class technologists and teams across the UK. This is an opportunity for someone who has a strong hands on background in Java, and a focus on AWS Environments. To design, develop and improve software, utilising various engi…",IT Jobs
Software Engineer,Bolt Technical,"Kent, South East England","Job Title Software Developer - Back end Location Kent Salary £40,000 - £45,000 per annum (depending on experience) Hours 08:00 – 16:00 (30-minute lunch) Flexible working available Hybrid working available after 6-month probation About the Opportunity Bolt Technical are recruiting on behalf of our client for a Back End Software Developer to join their growing engineering team. This is an excellent opportunity to work within a business that designs and manufactures advanced camera systems used ac…",IT Jobs
Software Engineer,Acceler8 Talent,UK," Hiring: Forward Deployed Engineer (Fully Remote across the UK) I’m partnering with a leading Revenue Ops platform transforming the commercial insurance space with a cutting-edge AI system that pulls from hundreds of data sources to modernize underwriting.  $180M funded (Series A–D)  7-figure recurring revenue  Fully remote  World-class engineering team This is a high-impact, customer-facing engineering role where you’ll architect and build custom solutions directly with enterprise clients. You…",IT Jobs
Software Engineer,Matchtech,"Bristol, South West England","Software Developer – Critical Defence Systems Bristol Based - 4 days a week on site Are you a C++ developer who thrives on solving complex technical challenges? Do you want to work on software that truly matters —systems that sit at the heart of critical defence capability? If so, this is a rare opportunity to join an innovative engineering team working at the cutting edge of systems‑level development. The Opportunity You’ll contribute across the full software development lifecycle, developing …",IT Jobs
